,_id,_rev,title,protagonists,Gender,producer,script,country,firstBroadcast
0,390dd44510bd26bc6d73a67578038632,1-d836b7a54fa37b8b85683c2fe72fddef,Teresa,Angelique Boyer,Telenovela,José Alberto Castro,Ximena Suarez,Mexico,2010-08-02
1,390dd44510bd26bc6d73a67578038632,1-d836b7a54fa37b8b85683c2fe72fddef,Teresa,Sebastián Rulli,Telenovela,José Alberto Castro,Ximena Suarez,Mexico,2010-08-02
